points,direction,correction
"[[353.34375, 390.0], [354.625, 390.0], [355.9375, 394.0], [1.171875, 422.0], [5.078125, 422.0], [6.390625, 415.0], [7.71875, 411.0], [12.921875, 349.0], [14.234375, 357.0], [33.21875, 133.0], [34.484375, 133.0], [35.8125, 135.0], [40.796875, 161.0], [42.140625, 164.0], [315.796875, 61.0], [316.921875, 62.0], [318.328125, 64.0], [319.421875, 66.0], [320.84375, 68.0], [321.9375, 70.0], [323.203125, 72.0], [325.671875, 77.0], [328.265625, 82.0]]",0.0,0.0
"[[350.96875, 417.0], [358.875, 421.0], [0.171875, 421.0], [1.484375, 422.0], [5.453125, 421.0], [8.109375, 401.0], [12.09375, 340.0], [14.6875, 360.0], [33.828125, 132.0], [35.203125, 133.0], [40.359375, 160.0], [41.640625, 163.0], [315.171875, 60.0], [316.328125, 62.0], [317.78125, 63.0], [318.90625, 65.0], [320.25, 67.0], [321.5, 69.0], [322.765625, 71.0], [332.65625, 96.0], [348.71875, 406.0]]",359.0,0.0
"[[355.65625, 394.0], [4.84375, 419.0], [6.171875, 411.0], [7.5, 411.0], [8.828125, 410.0], [12.828125, 348.0], [14.140625, 357.0], [33.3125, 133.0], [34.640625, 133.0], [35.90625, 135.0], [39.765625, 159.0], [41.03125, 161.0], [315.0625, 60.0], [316.1875, 62.0], [317.484375, 63.0], [318.65625, 65.0], [319.875, 67.0], [321.203125, 69.0], [322.390625, 71.0], [323.765625, 73.0], [328.65625, 83.0], [348.390625, 415.0], [349.71875, 417.0]]",0.02,0.0
"[[355.28125, 395.0], [357.890625, 422.0], [4.5, 420.0], [12.421875, 341.0], [31.390625, 143.0], [34.125, 132.0], [35.375, 134.0], [40.5, 160.0], [41.71875, 163.0], [315.609375, 61.0], [316.8125, 62.0], [317.984375, 64.0], [319.34375, 66.0], [320.46875, 67.0], [321.734375, 69.0], [323.078125, 72.0], [328.078125, 82.0], [347.8125, 408.0]]",355.0,0.0
"[[355.6875, 394.0], [4.90625, 419.0], [6.203125, 411.0], [7.515625, 410.0], [8.859375, 410.0], [12.8125, 346.0], [14.140625, 355.0], [33.21875, 133.0], [34.484375, 133.0], [35.890625, 135.0], [41.0625, 161.0], [315.453125, 61.0], [316.8125, 62.0], [317.96875, 64.0], [319.234375, 66.0], [320.40625, 67.0], [321.765625, 69.0], [323.0625, 71.0]]",1.0,0.0
"[[353.3125, 393.0], [354.640625, 393.0], [355.96875, 394.0], [1.203125, 422.0], [5.171875, 422.0], [7.828125, 410.0], [11.859375, 344.0], [13.140625, 348.0], [14.453125, 357.0], [33.671875, 133.0], [34.9375, 133.0], [39.953125, 160.0], [41.28125, 162.0], [315.25, 61.0], [316.59375, 62.0], [317.875, 64.0], [319.0, 65.0], [320.25, 67.0], [321.5625, 69.0]]",14.4,0.0
"[[4.78125, 422.0], [14.03125, 360.0], [33.140625, 133.0], [34.4375, 133.0], [35.796875, 135.0], [40.859375, 161.0], [42.125, 164.0], [315.0, 60.0], [316.296875, 62.0], [317.65625, 63.0], [318.859375, 65.0], [320.109375, 67.0], [321.4375, 69.0], [322.765625, 71.0], [332.734375, 96.0]]",1.54,0.0
"[[355.640625, 404.0], [12.796875, 413.0], [16.84375, 343.0], [19.4375, 363.0], [20.765625, 368.0], [33.046875, 183.0], [37.109375, 166.0], [39.859375, 156.0], [43.8125, 145.0], [329.84375, 36.0]]",0.0,0.0
"[[359.78125, 394.0], [11.609375, 409.0], [12.9375, 410.0], [16.96875, 344.0], [19.5625, 365.0], [20.875, 370.0], [34.484375, 176.0], [37.234375, 165.0], [38.5625, 160.0], [39.921875, 156.0], [42.640625, 146.0], [43.90625, 145.0], [328.8125, 33.0]]",1.0,0.0
"[[359.453125, 397.0], [2.109375, 419.0], [8.734375, 419.0], [12.6875, 406.0], [16.71875, 343.0], [19.375, 365.0], [20.703125, 368.0], [33.0625, 183.0], [37.125, 166.0], [39.84375, 156.0], [43.875, 145.0], [330.390625, 36.0]]",359.2,0.0
"[[359.8125, 394.0], [11.671875, 410.0], [13.0, 410.0], [17.046875, 345.0], [19.65625, 366.0], [37.453125, 164.0], [38.765625, 160.0], [40.15625, 155.0], [42.84375, 146.0], [44.1875, 145.0]]",358.4,0.0
"[[359.03125, 398.0], [12.203125, 403.0], [20.140625, 367.0], [37.890625, 163.0], [39.234375, 158.0], [40.609375, 154.0], [43.25, 145.0], [44.546875, 147.0], [328.9375, 33.0]]",15.0,0.0
"[[359.90625, 392.0], [11.734375, 410.0], [17.109375, 347.0], [19.734375, 366.0], [32.0, 187.0], [37.4375, 164.0], [38.828125, 159.0], [40.125, 155.0], [42.890625, 146.0], [44.203125, 146.0], [328.4375, 33.0]]",350.0,10.0
"[[9.6875, 421.0], [12.34375, 404.0], [16.421875, 349.0], [20.40625, 368.0], [34.25, 177.0], [36.921875, 166.0], [38.28125, 161.0], [39.65625, 157.0], [41.046875, 153.0], [43.703125, 145.0], [328.859375, 33.0]]",355.0,5.0
"[[359.40625, 392.0], [2.046875, 420.0], [8.71875, 420.0], [12.71875, 406.0], [16.796875, 343.0], [19.40625, 365.0], [20.75, 368.0], [37.328125, 164.0], [38.734375, 160.0], [40.09375, 155.0], [42.859375, 146.0], [44.109375, 145.0]]",0.6,0.0
"[[1.75, 413.0], [8.375, 420.0], [9.6875, 421.0], [12.3125, 405.0], [20.296875, 367.0], [32.59375, 183.0], [38.09375, 162.0], [39.453125, 157.0], [40.75, 153.0], [43.484375, 145.0]]",1.3,0.0
"[[356.640625, 26.0], [358.421875, 27.0], [3.09375, 29.0], [4.140625, 29.0], [43.078125, 398.0], [315.59375, 21.0], [316.921875, 21.0], [318.25, 21.0], [319.578125, 21.0], [320.65625, 21.0], [321.171875, 21.0], [323.5625, 21.0], [324.890625, 21.0], [326.21875, 21.0], [330.25, 21.0], [331.828125, 21.0], [332.90625, 22.0], [334.234375, 22.0], [335.5625, 22.0], [335.75, 22.0], [338.234375, 22.0], [338.671875, 22.0], [340.890625, 22.0], [342.21875, 23.0], [341.875, 23.0], [344.875, 23.0], [344.703125, 23.0], [346.421875, 23.0], [347.046875, 24.0], [348.140625, 24.0], [351.515625, 24.0], [350.75, 25.0], [352.3125, 25.0], [353.203125, 25.0], [354.34375, 26.0]]",0.0,50.0
"[[357.140625, 26.0], [358.421875, 27.0], [359.8125, 27.0], [0.453125, 28.0], [1.859375, 28.0], [316.25, 21.0], [317.578125, 21.0], [318.34375, 21.0], [320.234375, 21.0], [321.546875, 21.0], [322.890625, 21.0], [323.140625, 21.0], [325.53125, 21.0], [326.359375, 21.0], [329.53125, 21.0], [331.09375, 22.0], [332.171875, 22.0], [332.15625, 22.0], [334.8125, 22.0], [334.796875, 22.0], [337.46875, 22.0], [337.71875, 22.0], [339.359375, 22.0], [341.453125, 22.0], [342.640625, 23.0], [344.09375, 23.0], [345.421875, 23.0], [345.71875, 23.0], [347.4375, 24.0], [348.328125, 24.0], [349.96875, 24.0], [351.484375, 24.0], [352.625, 25.0], [353.234375, 25.0], [353.734375, 25.0], [354.921875, 26.0]]",2.0,48.0
"[[357.59375, 26.0], [359.046875, 27.0], [359.28125, 27.0], [0.9375, 28.0], [1.828125, 28.0], [3.796875, 29.0], [4.875, 29.0], [44.96875, 389.0], [315.40625, 21.0], [316.734375, 21.0], [318.0625, 21.0], [319.28125, 21.0], [320.734375, 21.0], [322.0625, 21.0], [323.40625, 21.0], [324.3125, 21.0], [324.8125, 21.0], [330.109375, 21.0], [331.4375, 21.0], [332.78125, 22.0], [332.59375, 22.0], [335.4375, 22.0], [335.703125, 22.0], [337.328125, 22.0], [339.4375, 22.0], [340.78125, 22.0], [340.390625, 23.0], [343.453125, 23.0], [344.65625, 23.0], [344.53125, 23.0], [347.453125, 23.0], [346.90625, 24.0], [348.421875, 24.0], [349.984375, 24.0], [351.3125, 25.0], [352.3125, 25.0], [353.21875, 25.0], [355.1875, 26.0]]",315.0,45.0
"[[356.8125, 26.0], [358.25, 27.0], [359.046875, 27.0], [0.546875, 28.0], [1.765625, 28.0], [2.65625, 29.0], [315.21875, 21.0], [315.671875, 21.0], [317.875, 21.0], [319.203125, 21.0], [320.53125, 21.0], [320.546875, 21.0], [322.5625, 21.0], [323.609375, 21.0], [325.84375, 21.0], [328.6875, 21.0], [330.21875, 21.0], [332.5, 22.0], [333.828125, 22.0], [335.15625, 22.0], [336.484375, 22.0], [337.8125, 22.0], [339.140625, 22.0], [339.71875, 22.0], [342.046875, 23.0], [341.453125, 23.0], [343.890625, 23.0], [343.875, 23.0], [345.71875, 23.0], [346.875, 24.0], [348.203125, 24.0], [349.21875, 24.0], [352.15625, 24.0], [353.234375, 25.0], [352.8125, 25.0], [354.796875, 26.0], [355.4375, 26.0]]",330.0,75.0
