node,x,y
1,-6.74,58.61
1,-5.38,58.75
1,-3.97,58.87
1,-2.65,58.94
1,-1.06,58.99
1,0.27,59.0
1,1.51,58.98
1,2.99,58.92
1,4.31,58.84
1,5.61,58.73
1,7.01,58.58
1,8.64,59.37
1,9.92,59.17
1,11.4,58.91
1,12.68,58.64
1,14.3,59.3
1,15.71,58.94
1,17.1,58.55
1,18.74,59.1
1,19.93,58.71
1,21.64,59.17
1,23.15,58.59
1,24.43,58.07
1,25.73,57.5
1,27.47,57.8
1,30.53,57.38
1,32.41,57.5
1,34.15,57.65
1,38.49,58.47
1,40.31,58.45
1,42.29,58.27
1,44.74,58.94
1,46.83,58.58
1,48.69,58.35
1,51.27,58.78
1,54.06,58.97
1,56.03,58.5
1,58.79,58.59
1,61.61,58.56
1,113.85,60.65
1,113.49,57.01
1,113.87,53.93
1,113.31,50.37
1,113.53,47.32
1,113.28,29.26
1,112.96,26.4
1,113.55,23.72
1,113.1,20.83
1,113.54,18.24
1,112.95,15.4
1,113.3,12.66
1,112.55,10.03
1,112.75,7.48
1,112.9,4.65
1,112.98,2.16
1,112.44,-11.2
1,77.28,-27.41
1,65.4,-32.43
1,63.74,-33.49
1,63.77,-35.53
1,68.29,-67.47
1,66.05,-68.28
1,63.73,-69.1
1,68.25,-88.8
1,64.4,-87.94
1,81.16,-287.77
1,74.39,-289.6
1,22.4,-129.07
1,19.44,-130.56
1,16.37,-130.98
1,13.51,-132.31
1,10.48,-134.59
1,7.58,-136.79
1,4.47,-139.93
1,1.18,-139.99
1,-2.02,-139.99
1,-17.78,-132.82
1,-24.9,-138.78
1,-27.99,-137.17
1,-34.28,-135.74
1,-37.83,-135.83
1,-41.18,-135.9
1,-44.71,-135.83
1,-48.18,-135.7
1,-52.42,-137.34
1,-71.13,-128.65
1,-74.02,-127.0
1,-76.94,-125.25
1,-82.77,-121.49
1,-142.08,-150.54
1,-142.13,-143.53
1,-141.9,-136.65
1,-142.75,-131.38
1,-147.29,-129.31
1,-147.29,-111.94
1,-148.28,-107.24
1,-144.81,-94.66
1,-144.44,-89.65
1,-144.82,-85.15
1,-153.05,-71.67
1,-183.64,-71.3
1,-185.28,-66.92
1,-143.55,-39.94
1,-143.47,-36.35
1,-143.31,-32.72
1,-144.02,-29.42
1,-143.7,-25.82
1,-143.29,-22.21
1,-143.75,-18.97
1,-143.17,-15.4
1,-143.5,-12.0
1,-143.73,-8.79
1,-143.9,-5.34
1,-142.99,-1.91
1,-142.99,1.36
1,-142.55,11.38
1,-143.26,14.62
1,-142.86,18.06
1,-144.38,21.66
1,-149.56,36.73
1,-148.63,40.3
